Group,Run,Metric,Step,Value
2B,2B_20260602_115853_GPT2,intent_acc/dev,0,0.9277108311653137
2B,2B_20260602_115853_GPT2,intent_acc/dev,1,0.9859437942504883
2B,2B_20260602_115853_GPT2,intent_acc/dev,2,0.9879518151283264
2B,2B_20260602_115853_GPT2,intent_acc/dev,3,0.9819276928901672
2B,2B_20260602_115853_GPT2,intent_acc/dev,4,0.9839357137680054
2B,2B_20260602_115853_GPT2,slot_f1/test,0,0.8949402570724487
2B,2B_20260602_115853_GPT2,intent_acc/test,0,0.9585666060447693
2B,2B_20260507_152056_BERT-base,loss/train,0,1.5626897811889648
2B,2B_20260507_152056_BERT-base,loss/train,1,0.4186874330043793
2B,2B_20260507_152056_BERT-base,loss/train,2,0.23884832859039307
2B,2B_20260507_152056_BERT-base,loss/train,3,0.14834441244602203
2B,2B_20260507_152056_BERT-base,loss/train,4,0.11333993077278137
2B,2B_20260507_152056_BERT-base,loss/dev,0,0.5737260580062866
2B,2B_20260507_152056_BERT-base,loss/dev,1,0.2823096811771393
2B,2B_20260507_152056_BERT-base,loss/dev,2,0.2169661968946457
2B,2B_20260507_152056_BERT-base,loss/dev,3,0.1501491367816925
2B,2B_20260507_152056_BERT-base,loss/dev,4,0.1511767953634262
2B,2B_20260507_152056_BERT-base,slot_f1/dev,0,0.8052647113800049
2B,2B_20260507_152056_BERT-base,slot_f1/dev,1,0.8919553756713867
2B,2B_20260507_152056_BERT-base,slot_f1/dev,2,0.926886796951294
2B,2B_20260507_152056_BERT-base,slot_f1/dev,3,0.9392427206039429
2B,2B_20260507_152056_BERT-base,slot_f1/dev,4,0.9538642168045044
2B,2B_20260507_152056_BERT-base,intent_acc/dev,0,0.9457831382751465
2B,2B_20260507_152056_BERT-base,intent_acc/dev,1,0.9899598360061646
2B,2B_20260507_152056_BERT-base,intent_acc/dev,2,0.9879518151283264
2B,2B_20260507_152056_BERT-base,intent_acc/dev,3,0.9899598360061646
2B,2B_20260507_152056_BERT-base,intent_acc/dev,4,0.9859437942504883
2B,2B_20260507_152056_BERT-base,slot_f1/test,0,0.9306792616844177
2B,2B_20260507_152056_BERT-base,intent_acc/test,0,0.9652855396270752
