Group,Run,Metric,Step,Value
2B,2B_20260507_174532_GPT2-small,loss/train,0,2.541426181793213
2B,2B_20260507_174532_GPT2-small,loss/train,1,0.6822545528411865
2B,2B_20260507_174532_GPT2-small,loss/train,2,0.393832266330719
2B,2B_20260507_174532_GPT2-small,loss/train,3,0.2659126818180084
2B,2B_20260507_174532_GPT2-small,loss/train,4,0.19285258650779724
2B,2B_20260507_174532_GPT2-small,loss/dev,0,0.846778392791748
2B,2B_20260507_174532_GPT2-small,loss/dev,1,0.40319642424583435
2B,2B_20260507_174532_GPT2-small,loss/dev,2,0.26849180459976196
2B,2B_20260507_174532_GPT2-small,loss/dev,3,0.21889640390872955
2B,2B_20260507_174532_GPT2-small,loss/dev,4,0.20147472620010376
2B,2B_20260507_174532_GPT2-small,slot_f1/dev,0,0.7217695116996765
2B,2B_20260507_174532_GPT2-small,slot_f1/dev,1,0.8298999667167664
2B,2B_20260507_174532_GPT2-small,slot_f1/dev,2,0.8790298700332642
2B,2B_20260507_174532_GPT2-small,slot_f1/dev,3,0.919015109539032
2B,2B_20260507_174532_GPT2-small,slot_f1/dev,4,0.9281472563743591
2B,2B_20260507_174532_GPT2-small,intent_acc/dev,0,0.9317269325256348
2B,2B_20260507_174532_GPT2-small,intent_acc/dev,1,0.9759036302566528
2B,2B_20260507_174532_GPT2-small,intent_acc/dev,2,0.9899598360061646
2B,2B_20260507_174532_GPT2-small,intent_acc/dev,3,0.9819276928901672
2B,2B_20260507_174532_GPT2-small,intent_acc/dev,4,0.9859437942504883
2B,2B_20260507_174532_GPT2-small,slot_f1/test,0,0.8822081685066223
2B,2B_20260507_174532_GPT2-small,intent_acc/test,0,0.9473684430122375
2B,2B_20260507_174032_BERT-base,loss/train,0,1.5383474826812744
2B,2B_20260507_174032_BERT-base,loss/train,1,0.4032200276851654
2B,2B_20260507_174032_BERT-base,loss/train,2,0.23110699653625488
2B,2B_20260507_174032_BERT-base,loss/train,3,0.14781756699085236
2B,2B_20260507_174032_BERT-base,loss/train,4,0.11791617423295975
2B,2B_20260507_174032_BERT-base,loss/dev,0,0.5372248291969299
2B,2B_20260507_174032_BERT-base,loss/dev,1,0.2676815390586853
2B,2B_20260507_174032_BERT-base,loss/dev,2,0.18713149428367615
2B,2B_20260507_174032_BERT-base,loss/dev,3,0.14436614513397217
2B,2B_20260507_174032_BERT-base,loss/dev,4,0.11987223476171494
2B,2B_20260507_174032_BERT-base,slot_f1/dev,0,0.8316831588745117
2B,2B_20260507_174032_BERT-base,slot_f1/dev,1,0.8957780003547668
2B,2B_20260507_174032_BERT-base,slot_f1/dev,2,0.9278775453567505
2B,2B_20260507_174032_BERT-base,slot_f1/dev,3,0.94758540391922
2B,2B_20260507_174032_BERT-base,slot_f1/dev,4,0.9511764645576477
2B,2B_20260507_174032_BERT-base,intent_acc/dev,0,0.9658634662628174
2B,2B_20260507_174032_BERT-base,intent_acc/dev,1,0.9859437942504883
2B,2B_20260507_174032_BERT-base,intent_acc/dev,2,0.9919678568840027
2B,2B_20260507_174032_BERT-base,intent_acc/dev,3,0.9899598360061646
2B,2B_20260507_174032_BERT-base,intent_acc/dev,4,0.9899598360061646
2B,2B_20260507_174032_BERT-base,slot_f1/test,0,0.9331700205802917
2B,2B_20260507_174032_BERT-base,intent_acc/test,0,0.9764837622642517
2B,2B_20260602_115853_GPT2,loss/train,0,2.418142080307007
2B,2B_20260602_115853_GPT2,loss/train,1,0.6574087142944336
2B,2B_20260602_115853_GPT2,loss/train,2,0.3687841594219208
2B,2B_20260602_115853_GPT2,loss/train,3,0.2537163197994232
2B,2B_20260602_115853_GPT2,loss/train,4,0.19097471237182617
2B,2B_20260602_115853_GPT2,loss/dev,0,0.7947531342506409
2B,2B_20260602_115853_GPT2,loss/dev,1,0.36085179448127747
2B,2B_20260602_115853_GPT2,loss/dev,2,0.25532716512680054
2B,2B_20260602_115853_GPT2,loss/dev,3,0.21400077641010284
2B,2B_20260602_115853_GPT2,loss/dev,4,0.16541612148284912
2B,2B_20260602_115853_GPT2,slot_f1/dev,0,0.7646881341934204
2B,2B_20260602_115853_GPT2,slot_f1/dev,1,0.8516661524772644
2B,2B_20260602_115853_GPT2,slot_f1/dev,2,0.8979350924491882
2B,2B_20260602_115853_GPT2,slot_f1/dev,3,0.9296274185180664
2B,2B_20260602_115853_GPT2,slot_f1/dev,4,0.941836416721344
