Group,Run,Metric,Step,Value
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,0,4.506710052490234
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,1,3.941601514816284
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,2,3.80092191696167
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,3,3.728564739227295
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,4,3.6863961219787598
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,5,3.6611273288726807
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,6,3.6441497802734375
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,7,3.6328670978546143
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,8,3.62341570854187
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,9,3.6160104274749756
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,0,63.1917610168457
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,1,54.7087516784668
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,2,51.2357292175293
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,3,49.32925796508789
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,4,48.56348419189453
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,5,47.53262710571289
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,6,47.87590026855469
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,7,47.740478515625
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,8,46.99095153808594
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,9,46.90786361694336
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/test,0,41.57026290893555
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,0,4.510917663574219
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,1,3.9279003143310547
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,2,3.782548666000366
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,3,3.7085120677948
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,4,3.665360927581787
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,5,3.6394577026367188
