family,run_dir,run_name,display_name,config_source,config_text,config_json,primary_metric,primary_best_step,primary_best_value,test_metrics,results_json,tags
1B,runs/1B_20260525_155235_LoRA_r=4_a=16,1B_20260525_155235_LoRA_r=4_a=16,LoRA r=4 a=16,run_name,LoRA r=4 a=16,,ppl/dev,4,24.291643142700195,,"{""primary_best_step"": 4, ""primary_best_value"": 24.291643142700195, ""primary_metric"": ""ppl/dev"", ""test_metrics"": {}}",loss/train; ppl/dev
1B,runs/1B_20260602_171212_LoRA_r=4_a=8,1B_20260602_171212_LoRA_r=4_a=8,alpha=8; lr=0.0005; n_epochs=20; name=LoRA r=4 a=8; patience=3; rank=4; save_best=True; warmup_epochs=3,run_config.json,alpha=8; lr=0.0005; n_epochs=20; name=LoRA r=4 a=8; patience=3; rank=4; save_best=True; warmup_epochs=3,"{""alpha"": 8, ""lr"": 0.0005, ""n_epochs"": 20, ""name"": ""LoRA r=4 a=8"", ""patience"": 3, ""rank"": 4, ""save_best"": true, ""warmup_epochs"": 3}",ppl/dev,17,23.23627281188965,ppl/test=20.9941,"{""primary_best_step"": 17, ""primary_best_value"": 23.23627281188965, ""primary_metric"": ""ppl/dev"", ""test_metrics"": {""ppl/test"": 20.99411964416504}}",loss/train; ppl/dev; ppl/test
